Summary,Method
"<summary>
讲枚举绑定在DropDownList上
</summary>","public static void BindDropDownList_Replace(DropDownList list, Type TypeEnum)
       {
           List<ListItem> TypeList = new List<ListItem>();
           foreach (object type in Enum.GetValues(TypeEnum))
           {
               string str=type.ToString();
               if (str.Contains('N') || str.Contains('D') || str.Contains('G')||str.Contains('M')||str.Contains('Q'))
               {
                   str=str.Replace(""N"", ""$"");
                   str=str.Replace(""D"", "","");
                   str=str.Replace(""G"", "" - "");
                   str = str.Replace(""M"", ""."");
                   str = str.Replace(""Q"", """");
               }
               TypeList.Add(new ListItem(str, ((int)type).ToString()));
           }
           list.DataSource = TypeList;
           list.DataTextField = ""text"";
           list.DataValueField = ""value"";
           list.DataBind();
       }"
"<summary>
This command represents the Pop3 RSET command.
</summary>","protected override byte[] CreateRequestMessage()
        {
            return GetRequestMessage(Pop3Commands.Rset);
        }"
"<summary>
This class represents both the multiline and single line Pop3 LIST command.
</summary>","protected override byte[] CreateRequestMessage()
        {
            string requestMessage = Pop3Commands.List;
            if (!IsMultiline)
            {
                requestMessage += _messageId.ToString();
            } 
            return GetRequestMessage(requestMessage, Pop3Commands.Crlf);
        }"
"<summary>
Creates the response.
</summary>","protected override ListResponse CreateResponse(byte[] buffer)
        {
            Pop3Response response = Pop3Response.CreateResponse(buffer);
            List<Pop3ListItem> items;
            if (IsMultiline)
            {
                items = new List<Pop3ListItem>();
                string[] values;
                string[] lines = GetResponseLines(StripPop3HostMessage(buffer, response.HostMessage));
                foreach (string line in lines)
                {
                    values = line.Split(' ');
                    if (values.Length < 2)
                    {
                        throw new Pop3Exception(string.Concat(""Invalid line in multiline response:  "", line));
                    }
                    items.Add(new Pop3ListItem(Convert.ToInt32(values[0]),
                        Convert.ToInt64(values[1])));
                }
            } 
            else
            {
                items = new List<Pop3ListItem>(1);
                string[] values = response.HostMessage.Split(' ');
                if (values.Length < 3)
                {
                    throw new Pop3Exception(string.Concat(""Invalid response message: "", response.HostMessage));
                }
                items.Add(new Pop3ListItem(Convert.ToInt32(values[1]), Convert.ToInt64(values[2])));
            } 
            return new ListResponse(response, items);
        }"
"<summary>
This command represents a Pop3 USER command.
</summary>","protected override byte[] CreateRequestMessage()
        {
            return GetRequestMessage(Pop3Commands.User, _username, Pop3Commands.Crlf);
        }"
"<summary>
This class represents the Pop3 QUIT command.
</summary>","protected override byte[] CreateRequestMessage()
        {
            return GetRequestMessage(Pop3Commands.Quit);
        }"
"<summary>
This class represents the Pop3 PASS command.
</summary>","protected override byte[] CreateRequestMessage()
        {
            return GetRequestMessage(Pop3Commands.Pass, _password, Pop3Commands.Crlf);
        }"
"<summary>
This class represents the Pop3 STAT command.
</summary>","protected override byte[] CreateRequestMessage()
        {
            return GetRequestMessage(Pop3Commands.Stat);
        }"
"<summary>
Creates the response.
</summary>","protected override StatResponse CreateResponse(byte[] buffer)
        {
            Pop3Response response = Pop3Response.CreateResponse(buffer);
            string[] values = response.HostMessage.Split(' ');
            if (values.Length < 3)
            {
                throw new Pop3Exception(string.Concat(""Invalid response message: "", response.HostMessage));
            }
            int messageCount = Convert.ToInt32(values[1]);
            long octets = Convert.ToInt64(values[2]);
            return new StatResponse(response, messageCount, octets);
        }"
"<summary>
This class represents the Pop3 NOOP command.
</summary>","protected override byte[] CreateRequestMessage()
        {
            return GetRequestMessage(Pop3Commands.Noop);
        }"
"<summary>
This class represents the Pop3 RETR command.
</summary>","protected override byte[] CreateRequestMessage()
        {
            return GetRequestMessage(Pop3Commands.Retr, _message.ToString(), Pop3Commands.Crlf);
        }"
"<summary>
Creates the response.
</summary>","protected override RetrResponse CreateResponse(byte[] buffer)
        {
            Pop3Response response = Pop3Response.CreateResponse(buffer);
            string[] messageLines = GetResponseLines(StripPop3HostMessage(buffer, response.HostMessage));
            return new RetrResponse(response, messageLines);
        }"
"<summary>
This class represents a Pop3 response message and
is intended to be used as a base class for all other
Pop3Response types.
</summary>","public static Pop3Response CreateResponse(byte[] responseContents)
        {
            string hostMessage;
            MemoryStream stream = new MemoryStream(responseContents);
            using (StreamReader reader = new StreamReader(stream))
            {
                hostMessage = reader.ReadLine();
                if (hostMessage"
"<summary>
Performs the connect to a Pop3 server and returns a Pop3
response indicating the attempt to connect results and the
network stream to use for all subsequent Pop3 Commands.
</summary>","protected override byte[] CreateRequestMessage()
        {
            return null;
        }"
"<summary>
Executes this instance.
</summary>","internal override ConnectResponse Execute(Pop3State currentState)
        {
            EnsurePop3State(currentState);
            try
            {
                _client.Connect(_hostname, _port);
                SetClientStream();
            }
            catch (SocketException e)
            {
                throw new Pop3Exception(string.Format(""Unable to connect to {0}:{1}."", _hostname, _port), e);
            }
            return base.Execute(currentState);
        }"
"<summary>
Sets the client stream.
</summary>","private void SetClientStream()
        {
            if (_useSsl)
            {
                try
                {
                    NetworkStream = new SslStream(_client.GetStream(), true); 
                    ((SslStream)NetworkStream).AuthenticateAsClient(_hostname);
                }
                catch (ArgumentException e)
                {
                    throw new Pop3Exception(""Unable to create Ssl Stream for hostname: "" + _hostname, e);
                }
                catch (AuthenticationException e)
                {
                    throw new Pop3Exception(""Unable to authenticate ssl stream for hostname: "" + _hostname, e);
                }
                catch (InvalidOperationException e)
                {
                    throw new Pop3Exception(""There was a problem  attempting to authenticate this SSL stream for hostname: "" + _hostname, e);
                }
            } 
            else
            {
                NetworkStream = _client.GetStream();
            }
        }"
"<summary>
Creates the response.
</summary>","protected override ConnectResponse CreateResponse(byte[] buffer)
        {
            Pop3Response response = Pop3Response.CreateResponse(buffer);
            return new ConnectResponse(response, NetworkStream);
        }"
"<summary>
Initializes a new instance of the <see cref=""TopCommand""/> class.
</summary>","protected override byte[] CreateRequestMessage()
        {
            return GetRequestMessage(Pop3Commands.Top, _messageNumber.ToString(), "" "", _lineCount.ToString(), Pop3Commands.Crlf);
        }"
"<summary>
Creates the response.
</summary>","protected override RetrResponse CreateResponse(byte[] buffer)
        {
            Pop3Response response = Pop3Response.CreateResponse(buffer);
            if (response"
"<summary>
This class represents a generic Pop3 command and
encapsulates the major operations when executing a
Pop3 command against a Pop3 Server.
</summary>","protected void OnTrace(string message)
        {
            if (Trace != null)
            {
                Trace(message);
            }
        }"
"<summary>
Sets a value indicating whether this instance is multiline.
</summary>","protected abstract byte[] CreateRequestMessage();
        private void Send(byte[] message)
        {
            try
            {
                _networkStream.Write(message, 0, message.Length);
            }
            catch (SocketException e)
            {
                throw new Pop3Exception(""Unable to send the request message: "" + Encoding.ASCII.GetString(message), e);
            }
        }"
"<summary>
Executes this instance.
</summary>","internal virtual T Execute(Pop3State currentState)
        {
            EnsurePop3State(currentState);
            byte[] message = CreateRequestMessage();
            if (message != null)
            {
                Send(message);
            }
            T response = CreateResponse(GetResponse());
            if (response"
"<summary>
Ensures the state of the POP3.
</summary>","protected void EnsurePop3State(Pop3State currentState)
        {
            if (!((currentState & ValidExecuteState)"
"<summary>
Creates the response.
</summary>","protected virtual T CreateResponse(byte[] buffer)
        {
            return Pop3Response.CreateResponse(buffer) as T;
        }"
"<summary>
Gets the response.
</summary>","private byte[] GetResponse()
        {
            AsyncCallback callback;
            if (_isMultiline)
            {
                callback = new AsyncCallback(GetMultiLineResponseCallback);
            }
            else
            {
                callback = new AsyncCallback(GetSingleLineResponseCallback);
            }
            try
            {
                Receive(callback);
                _manualResetEvent.WaitOne();
                return _responseContents.ToArray();
            }
            catch (SocketException e)
            {
                throw new Pop3Exception(""Unable to get response."", e);
            }
        }"
"<summary>
Receives the specified callback.
</summary>","private IAsyncResult Receive(AsyncCallback callback)
        {
            return _networkStream.BeginRead(_buffer, 0, _buffer.Length, callback, null);
        }"
"<summary>
Writes the received bytes to buffer.
</summary>","private string WriteReceivedBytesToBuffer(int bytesReceived)
        {
            _responseContents.Write(_buffer, 0, bytesReceived);
            byte[] contents = _responseContents.ToArray();
            return Encoding.ASCII.GetString(contents, (contents.Length > 5 ? contents.Length - 5 : 0), 5);
        }"
"<summary>
Gets the single line response callback.
</summary>","private void GetSingleLineResponseCallback(IAsyncResult ar)
        {
            int bytesReceived = _networkStream.EndRead(ar);
            string message = WriteReceivedBytesToBuffer(bytesReceived);
            if (message.EndsWith(Pop3Commands.Crlf))
            {
                _manualResetEvent.Set();
            }
            else
            {
                Receive(new AsyncCallback(GetSingleLineResponseCallback));
            }
        }"
"<summary>
Gets the multi line response callback.
</summary>","private void GetMultiLineResponseCallback(IAsyncResult ar)
        {
            int bytesReceived = _networkStream.EndRead(ar);
            string message = WriteReceivedBytesToBuffer(bytesReceived);
            if (message.EndsWith(MultilineMessageTerminator)
                || bytesReceived"
"<summary>
Gets the request message.
</summary>","protected byte[] GetRequestMessage(params string[] args)
        {
            string message = string.Join(string.Empty, args);
            OnTrace(message);
            return Encoding.ASCII.GetBytes(message);
        }"
"<summary>
Strips the POP3 host message.
</summary>","protected MemoryStream StripPop3HostMessage(byte[] bytes, string header)
        {
            int position = header.Length + 2;
            MemoryStream stream = new MemoryStream(bytes, position, bytes.Length - position);
            return stream;
        }"
"<summary>
Gets the response lines.
</summary>","protected string[] GetResponseLines(MemoryStream stream)
        {
            List<string> lines = new List<string>();
            using (StreamReader reader = new StreamReader(stream))
            {
                try
                {
                    string line;
                    do
                    {
                        line = reader.ReadLine();
                        if (line.StartsWith(MessageTerminator))
                        {
                            if (line"
"<summary>
This class represents the Pop3 DELE command.
</summary>","protected override byte[] CreateRequestMessage()
        {
            return GetRequestMessage(string.Concat(Pop3Commands.Dele, _messageId.ToString(), Pop3Commands.Crlf));
        }"
"<summary>
The Pop3Client class provides a wrapper for the Pop3 commands
that can be executed against a Pop3Server.  This class will
execute and return results for the various commands that are
executed.
</summary>","private void OnTrace(string message)
        {
            if (Trace != null)
            {
                Trace(message);
            }
        }"
"<summary>
Gets the hostname.
</summary>","private void EnsureConnection()
        {
            if (!_client.Connected)
            {
                throw new Pop3Exception(""Pop3 client is not connected."");
            }
        }"
"<summary>
Resets the state.
</summary>","private void SetState(Pop3State state)
        {
            _currentState = state;
        }"
"<summary>
Ensures the response.
</summary>","private void EnsureResponse(Pop3Response response, string error)
        {
            if (response"
"<summary>
Ensures the response.
</summary>","private void EnsureResponse(Pop3Response response)
        {
            EnsureResponse(response, string.Empty);
        }"
"<summary>
Traces the command.
</summary>","private void Connect()
        {
            if (_client"
"<summary>
Sets the client stream.  If UseSsl <c>true</c> then wrap
the client's <c>NetworkStream</c> in an <c>SslStream</c>, if UseSsl <c>false</c>
then set the client stream to the <c>NetworkStream</c>
</summary>","private void SetClientStream(Stream networkStream)
        {
            if (_clientStream != null)
            {
                _clientStream.Dispose();
            }
            _clientStream = networkStream;
        }"
"<summary>
Authenticates this instance.
</summary>","public void Authenticate()
        {
            Connect();
            using (UserCommand userCommand = new UserCommand(_clientStream, _username))
            {
                ExecuteCommand<Pop3Response, UserCommand>(userCommand);
            }
            using (PassCommand passCommand = new PassCommand(_clientStream, _password))
            {
                ExecuteCommand<Pop3Response, PassCommand>(passCommand);
            }
            _currentState = Pop3State.Transaction;
        }"
"<summary>
Executes the POP3 DELE command.
</summary>","public void Dele(Pop3ListItem item)
        {
            if (item"
"<summary>
Executes the POP3 NOOP command.
</summary>","public void Noop()
        {
            using (NoopCommand command = new NoopCommand(_clientStream))
            {
                ExecuteCommand<Pop3Response, NoopCommand>(command);
            }
        }"
"<summary>
Executes the POP3 RSET command.
</summary>","public void Rset()
        {
            using (RsetCommand command = new RsetCommand(_clientStream))
            {
                ExecuteCommand<Pop3Response, RsetCommand>(command);
            }
        }"
"<summary>
Executes the POP3 STAT command.
</summary>","public Stat Stat()
        {
            StatResponse response;
            using (StatCommand command = new StatCommand(_clientStream))
            {
                response = ExecuteCommand<StatResponse, StatCommand>(command);
            }
            return new Stat(response.MessageCount, response.Octets);
        }"
"<summary>
Executes the POP3 List command.
</summary>","public List<Pop3ListItem> List()
        {
            ListResponse response;
            using (ListCommand command = new ListCommand(_clientStream))
            {
                response = ExecuteCommand<ListResponse, ListCommand>(command);
            }
            return response.Items;
        }"
"<summary>
Lists the specified message.
</summary>","public Pop3ListItem List(int messageId)
        {
            ListResponse response;
            using (ListCommand command = new ListCommand(_clientStream, messageId))
            {
                response = ExecuteCommand<ListResponse, ListCommand>(command);
            }
            return new Pop3ListItem(response.MessageNumber, response.Octets);
        }"
"<summary>
Retrs the specified message.
</summary>","public MimeEntity RetrMimeEntity(Pop3ListItem item)
        {
            if (item"
"<summary>
Retrs the mail message ex.
</summary>","public MailMessageEx RetrMailMessageEx(Pop3ListItem item)
        {
            MailMessageEx message = RetrMimeEntity(item).ToMailMessageEx();
            if (message != null)
            {
                message.MessageNumber = item.MessageId;
            }
            return message;
        }"
"<summary>
Executes the Pop3 QUIT command.
</summary>","public void Quit()
        {
            using (QuitCommand command = new QuitCommand(_clientStream))
            {
                ExecuteCommand<Pop3Response, QuitCommand>(command);
                if (CurrentState.Equals(Pop3State.Transaction))
                {
                    SetState(Pop3State.Update);
                } 
                Disconnect();
                SetState(Pop3State.Unknown);
            }
        }"
"<summary>
Provides a common way to execute all commands.  This method
validates the connection, traces the command and finally
validates the response message for a -ERR response.
</summary>","private void Disconnect()
        {
            if (_clientStream != null)
            {
                _clientStream.Close();
            }  
            if (_client != null)
            {
                _client.Close();
                _client = null;
            }
        }"
"<summary>
INI文件读写类。
Copyright (C) Maticsoft
</summary>","private static extern long WritePrivateProfileString(string section,string key,string val,string filePath);
        [DllImport(""kernel32"")]
        private static extern int GetPrivateProfileString(string section,string key,string def, StringBuilder retVal,int size,string filePath);
        [DllImport(""kernel32"")]
        private static extern int GetPrivateProfileString(string section, string key, string defVal, Byte[] retVal, int size, string filePath);
        public void IniWriteValue(string Section,string Key,string Value)
        {
            WritePrivateProfileString(Section,Key,Value,this.path);
        }"
"<summary>
切换到主库，此方法适用于SQL自动查询服务端版本用
系统自动会使用 select cast(serverproperty('EngineEdition') as int) 来查询
</summary>","public static void UpdateToMaster(DbConnection conn)
        {
        }"
"<summary>
Session 操作类
1、GetSession(string name)根据session名获取session对象
2、SetSession(string name, object val)设置session
</summary>","public static object GetSession(string name)
        {
            return HttpContext.Current.Session[name];
        }"
"<summary>
创建一个IPEndPoint对象
</summary>","public static IPEndPoint CreateIPEndPoint(string ip, int port)
        {
            IPAddress ipAddress = StringToIPAddress(ip);
            return new IPEndPoint(ipAddress, port);
        }"
"<summary>
INI文件读写类。
Copyright (C) Maticsoft
</summary>","private static extern long WritePrivateProfileString(string section,string key,string val,string filePath);
        [DllImport(""kernel32"")]
        private static extern int GetPrivateProfileString(string section,string key,string def, StringBuilder retVal,int size,string filePath);
        [DllImport(""kernel32"")]
        private static extern int GetPrivateProfileString(string section, string key, string defVal, Byte[] retVal, int size, string filePath);
        public void IniWriteValue(string Section,string Key,string Value)
        {
            WritePrivateProfileString(Section,Key,Value,this.path);
        }"
"<summary>
Utility methods related to CLR Types for SQL Server
</summary>","private static extern IntPtr LoadLibrary(string libname);
        public static void LoadNativeAssemblies(string rootApplicationPath)
        {
            var nativeBinaryPath = IntPtr.Size > 4
                ? Path.Combine(rootApplicationPath, @""SqlServerTypes\x64\"")
                : Path.Combine(rootApplicationPath, @""SqlServerTypes\x86\"");
            LoadNativeAssembly(nativeBinaryPath, ""msvcr120.dll"");
            LoadNativeAssembly(nativeBinaryPath, ""SqlServerSpatial140.dll"");
        }"
"<summary>
Execute a SqlCommand that returns a resultset against the database specified in the connection string
using the provided parameters.
</summary>","public static SqlDataReader ExecuteReader(string connectionString, CommandType cmdType, string cmdText, params SqlParameter[] commandParameters)
        {
            SqlCommand cmd = new SqlCommand();
            try
            {
                SqlConnection conn = new SqlConnection(connectionString);
                    PrepareCommand(cmd, conn, null, cmdType, cmdText, commandParameters);
                    SqlDataReader rdr = cmd.ExecuteReader(CommandBehavior.CloseConnection);
                    cmd.Parameters.Clear();
                    return rdr;
            }
            catch
            {
                throw;
            }
        }"
"<summary>
Execute a SqlCommand that returns the first column of the first record against the database specified in the connection string
using the provided parameters.
</summary>","public static object ExecuteScalar(string connectionString, CommandType cmdType, string cmdText, params SqlParameter[] commandParameters)
        {
            SqlCommand cmd = new SqlCommand();
            using (SqlConnection connection = new SqlConnection(connectionString))
            {
                PrepareCommand(cmd, connection, null, cmdType, cmdText, commandParameters);
                object val = cmd.ExecuteScalar();
                cmd.Parameters.Clear();
                return val;
            }
        }"
"<summary>
Execute a SqlCommand that returns the first column of the first record against an existing database connection
using the provided parameters.
</summary>","public static object ExecuteScalar(SqlConnection connection, CommandType cmdType, string cmdText, params SqlParameter[] commandParameters)
        {
            SqlCommand cmd = new SqlCommand();
            PrepareCommand(cmd, connection, null, cmdType, cmdText, commandParameters);
            object val = cmd.ExecuteScalar();
            cmd.Parameters.Clear();
            return val;
        }"
"<summary>
add parameter array to the cache
</summary>","public static void CacheParameters(string cacheKey, params SqlParameter[] commandParameters)
        {
            parmCache[cacheKey] = commandParameters;
        }"
"<summary>
Retrieve cached parameters
</summary>","public static SqlParameter[] GetCachedParameters(string cacheKey)
        {
            SqlParameter[] cachedParms = (SqlParameter[])parmCache[cacheKey];
            if (cachedParms"
"<summary>
创建一个IPEndPoint对象
</summary>","public static IPEndPoint CreateIPEndPoint(string ip, int port)
        {
            IPAddress ipAddress = StringToIPAddress(ip);
            return new IPEndPoint(ipAddress, port);
        }"
"<summary>
Copyright (C) Maticsoft
数据访问基础类(基于Oracle)
用户可以修改满足自己项目的需要。
</summary>","public static int GetMaxID(string FieldName, string TableName)
        {
            string strsql = ""select max("" + FieldName + "")+1 from "" + TableName;
            object obj = GetSingle(strsql);
            if (obj"
"<summary>
创建 OracleCommand 对象实例(用来返回一个整数值)
</summary>","private static OracleCommand BuildIntCommand(OracleConnection connection,string storedProcName, IDataParameter[] parameters)
		{
			OracleCommand command = BuildQueryCommand(connection,storedProcName, parameters );
			command.Parameters.Add( new OracleParameter ( ""ReturnValue"",
                OracleType.Int32, 4, ParameterDirection.ReturnValue,
				false,0,0,string.Empty,DataRowVersion.Default,null ));
			return command;
		}"
"<summary>
数据访问类，可用于访问不同数据库
Copyright (C) Maticsoft
</summary>","public bool ColumnExists(string tableName, string columnName)
        {
            string sql = ""select count(1) from syscolumns where [id]=object_id('"" + tableName + ""') and [name]='"" + columnName + ""'"";
            object res = GetSingle(sql);
            if (res"
"<summary>
数据访问抽象基础类
Copyright (C) Maticsoft
</summary>","public static bool ColumnExists(string tableName, string columnName)
        {
            string sql = ""select count(1) from syscolumns where [id]=object_id('"" + tableName + ""') and [name]='"" + columnName + ""'"";
            object res = GetSingle(sql);
            if (res"
"<summary>
Copyright (C) Maticsoft
数据访问基础类(基于OleDb)
可以用户可以修改满足自己项目的需要。
</summary>","public static int GetMaxID(string FieldName, string TableName)
        {
            string strsql = ""select max("" + FieldName + "")+1 from "" + TableName;
            object obj = DbHelperSQL.GetSingle(strsql);
            if (obj"
"<summary>
数据访问抽象基础类
Copyright (C) Maticsoft
</summary>","public static int GetMaxID(string FieldName, string TableName)
        {
            string strsql = ""select max("" + FieldName + "")+1 from "" + TableName;
            object obj = GetSingle(strsql);
            if (obj"
"<summary>
Copyright (C) 2011 Maticsoft
数据访问基础类(基于SQLite)
可以用户可以修改满足自己项目的需要。
</summary>","public static int GetMaxID(string FieldName, string TableName)
        {
            string strsql = ""select max("" + FieldName + "")+1 from "" + TableName;
            object obj = GetSingle(strsql);
            if (obj"
"<summary>
A helper class used to execute queries against an Oracle database
</summary>","public static int ExecuteNonQuery(string connectionString, CommandType cmdType, string cmdText, params OracleParameter[] commandParameters)
        {
            OracleCommand cmd = new OracleCommand();
            using (OracleConnection connection = new OracleConnection(connectionString))
            {
                PrepareCommand(cmd, connection, null, cmdType, cmdText, commandParameters);
                int val = cmd.ExecuteNonQuery();
                connection.Close();
                cmd.Parameters.Clear();
                return val;
            }
        }"
"<summary>
Execute an OracleCommand (that returns no resultset) against an existing database transaction
using the provided parameters.
</summary>","public static int ExecuteNonQuery(OracleTransaction trans, CommandType cmdType, string cmdText, params OracleParameter[] commandParameters)
        {
            OracleCommand cmd = new OracleCommand();
            PrepareCommand(cmd, trans.Connection, trans, cmdType, cmdText, commandParameters);
            int val = cmd.ExecuteNonQuery();
            cmd.Parameters.Clear();
            return val;
        }"
"<summary>
Execute an OracleCommand (that returns no resultset) against an existing database connection
using the provided parameters.
</summary>","public static int ExecuteNonQuery(OracleConnection connection, CommandType cmdType, string cmdText, params OracleParameter[] commandParameters)
        {
            OracleCommand cmd = new OracleCommand();
            PrepareCommand(cmd, connection, null, cmdType, cmdText, commandParameters);
            int val = cmd.ExecuteNonQuery();
            cmd.Parameters.Clear();
            return val;
        }"
"<summary>
Execute a select query that will return a result set
</summary>","public static OracleDataReader ExecuteReader(string connectionString, CommandType cmdType, string cmdText, params OracleParameter[] commandParameters)
        {
            OracleCommand cmd = new OracleCommand();
            OracleConnection conn = new OracleConnection(connectionString);
            try
            {
                PrepareCommand(cmd, conn, null, cmdType, cmdText, commandParameters);
                OracleDataReader rdr = cmd.ExecuteReader(CommandBehavior.CloseConnection);
                cmd.Parameters.Clear();
                return rdr;
            }
            catch
            {
                conn.Close();
                throw;
            }
        }"
"<summary>
Execute an OracleCommand that returns the first column of the first record against the database specified in the connection string
using the provided parameters.
</summary>","public static object ExecuteScalar(string connectionString, CommandType cmdType, string cmdText, params OracleParameter[] commandParameters)
        {
            OracleCommand cmd = new OracleCommand();
            using (OracleConnection conn = new OracleConnection(connectionString))
            {
                PrepareCommand(cmd, conn, null, cmdType, cmdText, commandParameters);
                object val = cmd.ExecuteScalar();
                cmd.Parameters.Clear();
                return val;
            }
        }"
"<summary>
Execute	a OracleCommand (that returns a 1x1 resultset)	against	the	specified SqlTransaction
using the provided parameters.
</summary>","public static object ExecuteScalar(OracleTransaction transaction, CommandType commandType, string commandText, params OracleParameter[] commandParameters)
        {
            if (transaction"
"<summary>
Execute an OracleCommand that returns the first column of the first record against an existing database connection
using the provided parameters.
</summary>","public static object ExecuteScalar(OracleConnection connectionString, CommandType cmdType, string cmdText, params OracleParameter[] commandParameters)
        {
            OracleCommand cmd = new OracleCommand();
            PrepareCommand(cmd, connectionString, null, cmdType, cmdText, commandParameters);
            object val = cmd.ExecuteScalar();
            cmd.Parameters.Clear();
            return val;
        }"
"<summary>
Add a set of parameters to the cached
</summary>","public static void CacheParameters(string cacheKey, params OracleParameter[] commandParameters)
        {
            parmCache[cacheKey] = commandParameters;
        }"
"<summary>
Fetch parameters from the cache
</summary>","public static OracleParameter[] GetCachedParameters(string cacheKey)
        {
            OracleParameter[] cachedParms = (OracleParameter[])parmCache[cacheKey];
            if (cachedParms"
"<summary>
Converter to use boolean data type with Oracle
</summary>","public static string OraBit(bool value)
        {
            if (value)
                return ""Y"";
            else
                return ""N"";
        }"
"<summary>
Converter to use boolean data type with Oracle
</summary>","public static bool OraBool(string value)
        {
            if (value.Equals(""Y""))
                return true;
            else
                return false;
        }"
"<summary>
The SqlHelper class is intended to encapsulate high performance,
scalable best practices for common uses of SqlClient.
</summary>","public static int ExecuteNonQuery(string connectionString, CommandType cmdType, string cmdText, params SqlParameter[] commandParameters)
        {
            SqlCommand cmd = new SqlCommand();
            using (SqlConnection conn = new SqlConnection(connectionString))
            {
                PrepareCommand(cmd, conn, null, cmdType, cmdText, commandParameters);
                int val = cmd.ExecuteNonQuery();
                cmd.Parameters.Clear();
                return val;
            }
        }"
"<summary>
Execute a SqlCommand (that returns no resultset) against an existing database connection
using the provided parameters.
</summary>","public static int ExecuteNonQuery(SqlConnection connection, CommandType cmdType, string cmdText, params SqlParameter[] commandParameters)
        {
            SqlCommand cmd = new SqlCommand();
            PrepareCommand(cmd, connection, null, cmdType, cmdText, commandParameters);
            int val = cmd.ExecuteNonQuery();
            cmd.Parameters.Clear();
            return val;
        }"
"<summary>
Execute a SqlCommand (that returns no resultset) using an existing SQL Transaction
using the provided parameters.
</summary>","public static int ExecuteNonQuery(SqlTransaction trans, CommandType cmdType, string cmdText, params SqlParameter[] commandParameters)
        {
            SqlCommand cmd = new SqlCommand();
            PrepareCommand(cmd, trans.Connection, trans, cmdType, cmdText, commandParameters);
            int val = cmd.ExecuteNonQuery();
            cmd.Parameters.Clear();
            return val;
        }"
"<summary>
Execute a SqlCommand that returns a resultset against the database specified in the connection string
using the provided parameters.
</summary>","public static SqlDataReader ExecuteReader(string connectionString, CommandType cmdType, string cmdText, params SqlParameter[] commandParameters)
        {
            SqlCommand cmd = new SqlCommand();
            SqlConnection conn = new SqlConnection(connectionString);
            try
            {
                PrepareCommand(cmd, conn, null, cmdType, cmdText, commandParameters);
                SqlDataReader rdr = cmd.ExecuteReader(CommandBehavior.CloseConnection);
                cmd.Parameters.Clear();
                return rdr;
            }
            catch
            {
                conn.Close();
                throw;
            }
        }"
"<summary>
Execute a SqlCommand that returns the first column of the first record against the database specified in the connection string
using the provided parameters.
</summary>","public static object ExecuteScalar(string connectionString, CommandType cmdType, string cmdText, params SqlParameter[] commandParameters)
        {
            SqlCommand cmd = new SqlCommand();
            using (SqlConnection connection = new SqlConnection(connectionString))
            {
                PrepareCommand(cmd, connection, null, cmdType, cmdText, commandParameters);
                object val = cmd.ExecuteScalar();
                cmd.Parameters.Clear();
                return val;
            }
        }"
"<summary>
Execute a SqlCommand that returns the first column of the first record against an existing database connection
using the provided parameters.
</summary>","public static object ExecuteScalar(SqlConnection connection, CommandType cmdType, string cmdText, params SqlParameter[] commandParameters)
        {
            SqlCommand cmd = new SqlCommand();
            PrepareCommand(cmd, connection, null, cmdType, cmdText, commandParameters);
            object val = cmd.ExecuteScalar();
            cmd.Parameters.Clear();
            return val;
        }"
"<summary>
add parameter array to the cache
</summary>","public static void CacheParameters(string cacheKey, params SqlParameter[] commandParameters)
        {
            parmCache[cacheKey] = commandParameters;
        }"
"<summary>
Retrieve cached parameters
</summary>","public static SqlParameter[] GetCachedParameters(string cacheKey)
        {
            SqlParameter[] cachedParms = (SqlParameter[])parmCache[cacheKey];
            if (cachedParms"
"<summary>
Prepare a command for execution
</summary>","private static void PrepareCommand(SqlCommand cmd, SqlConnection conn, SqlTransaction trans, CommandType cmdType, string cmdText, SqlParameter[] cmdParms)
        {
            if (conn.State != ConnectionState.Open)
                conn.Open();
            cmd.Connection = conn;
            cmd.CommandText = cmdText;
            if (trans != null)
                cmd.Transaction = trans;
            cmd.CommandType = cmdType;
            if (cmdParms != null)
            {
                foreach (SqlParameter parm in cmdParms)
                    cmd.Parameters.Add(parm);
            }
        }"
"<summary>
DataTable转换为Json
</summary>","public static string ToJson(DataTable dt, string jsonName)
        {
            StringBuilder Json = new StringBuilder();
            if (string.IsNullOrEmpty(jsonName)) jsonName = dt.TableName;
            Json.Append(""{\"""" + jsonName + ""\"":["");
            if (dt.Rows.Count > 0)
            {
                for (int i = 0; i < dt.Rows.Count; i++)
                {
                    Json.Append(""{"");
                    for (int j = 0; j < dt.Columns.Count; j++)
                    {
                        Type type = dt.Rows[i][j].GetType();
                        Json.Append(""\"""" + dt.Columns[j].ColumnName.ToString() + ""\"":"" + StringFormat(dt.Rows[i][j].ToString(), type));
                        if (j < dt.Columns.Count - 1)
                        {
                            Json.Append("","");
                        }
                    }
                    Json.Append(""}"");
                    if (i < dt.Rows.Count - 1)
                    {
                        Json.Append("","");
                    }
                }
            }
            Json.Append(""]}"");
            return Json.ToString();
        }"
"<summary>
Datatable转换为Json 2
</summary>","public static List<Dictionary<string, object>> DataTableToDictionary(DataTable dt)
        {
            List<Dictionary<string, object>> list = new List<Dictionary<string, object>>();
            foreach (DataRow dr in dt.Rows)
            {
                Dictionary<string, object> result = new Dictionary<string, object>();
                foreach (DataColumn dc in dt.Columns)
                {
                    result.Add(dc.ColumnName, dr[dc].ToString());
                }
                list.Add(result);
            }
            return list;
        }"
